NP1,Sample,Prevotella bivia
NP2,Sample,Prevotella bivia
NP4,Sample,Prevotella bivia
NP5,Sample,Prevotella bivia
NP8,Sample,Prevotella bivia
OP1,Sample,Prevotella bivia
OP2,Sample,Prevotella bivia
OP3,Sample,Prevotella bivia
OP4,Sample,Prevotella bivia
OP5,Sample,Prevotella bivia
OP6,Sample,Prevotella bivia
OP7,Sample,Prevotella bivia
OP8,Sample,Prevotella bivia
RP1,Sample,Prevotella bivia
RP3,Sample,Prevotella bivia
SP1,Sample,Prevotella bivia
SP2,Sample,Prevotella bivia
SP3,Sample,Prevotella bivia
SP4,Sample,Prevotella bivia
SP5,Sample,Prevotella bivia
SP6,Sample,Prevotella bivia
SP7,Sample,Prevotella bivia
SP8,Sample,Prevotella bivia
UP1,Sample,Prevotella bivia
UP2,Sample,Prevotella bivia
UP3,Sample,Prevotella bivia
UP4,Sample,Prevotella bivia
XP1,Sample,Prevotella disiens
XP2,Sample,Prevotella disiens
XP3,Sample,Prevotella disiens
XP4,Sample,Prevotella disiens
XP5,Sample,Prevotella disiens
XP6,Sample,Prevotella disiens
XP7,Sample,Prevotella disiens
XP8,Sample,Prevotella disiens
XP9,Sample,Prevotella disiens
XP10,Sample,Prevotella disiens
XP11,Sample,Prevotella disiens
XP12,Sample,Prevotella disiens
TP1,Sample,Prevotella disiens
TP2,Sample,Prevotella disiens
TP3,Sample,Prevotella disiens
TP4,Sample,Prevotella disiens
TP5,Sample,Prevotella disiens
TP6,Sample,Prevotella disiens
TP7,Sample,Prevotella disiens
TP8,Sample,Prevotella disiens
TP9,Sample,Prevotella disiens
TP10,Sample,Prevotella disiens
TP11,Sample,Prevotella disiens
TP12,Sample,Prevotella disiens
TP13,Sample,Prevotella disiens
TP14,Sample,Prevotella disiens
TP15,Sample,Prevotella disiens
TP16,Sample,Prevotella disiens
TP17,Sample,Prevotella disiens
TP18,Sample,Prevotella disiens
PB,Reference,Prevotella bivia Original
PD,Reference,Prevotella disiens Original
VM,Reference,Veillonella montpellierensis Original
